Accession	SMILES
CCMSLIB00000001573	C[C@@H](C/C(=C\C(=O)N(C)[C@@H](CC1=CC=CC=C1)C2=NC=CS2)/OC)C(Cl)(Cl)Cl
CCMSLIB00000001575	C[C@@H](C/C(=C\C(=O)N(C)[C@@H](CC1=CC=CC=C1)C2=NC=CS2)/OC)C(Cl)(Cl)Cl
CCMSLIB00000001706	C[C@H]1C=CC(=O)N1C(=O)/C=C(\CCNC(=O)CC/C=C/C(C)CC/C(=C/Cl)/CCCC#CBr)/OC
CCMSLIB00000001708	CC1C=CC(=O)N1C(=O)/C=C(\CCNC(=O)CC/C=C/C(C)CC/C(=C/Cl)/CCCC=C)/OC
CCMSLIB00000479759	C[C@H]1C/C(=C/C=C/[C@@H]([C@H](OC(=O)/C(=C/C(=C/[C@H]([C@H]1O)C)/C)/OC)[C@@H](C)[C@H]([C@H](C)[C@]2(C[C@H]([C@@H]([C@H](O2)C(C)C)C)O)O)O)OC)/C
CCMSLIB00000578442	CCCCCC[C@@H]1[C@H]([C@@H](OC(=O)[C@H]([C@H](OC1=O)C)NC(=O)C2=C(C(=CC=C2)NC=O)O)C)OC(=O)CC(C)C
CCMSLIB00000579285	C/C(=C\C1=CC=C(C=C1)O)/C(=O)NC2=CC=C(C=C2)C(=O)N[C@@H](CC#N)C(=O)NC3=CC=C(C=C3)C(=O)NC4=C(C(=C(C=C4)C(=O)NC5=C(C(=C(C=C5)C(=O)O)O)OC)O)OC
CCMSLIB00000839195	CN1C2=CC=CC=C2N=C3C1=CC=CC3=O
CCMSLIB00000840594	CCC(C)C(=O)C(=O)N(C)[C@@H](C(C)C)C(=O)NCCC1=CNC2=CC=CC=C21
CCMSLIB00004679298	CCCCCCCCCCCC(CC(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@@H]1[C@@H](OC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@H](NC1=O)[C@H](C)CC)CC(C)C)CO)CC(C)C)CC(C)C)CO)C(C)C)C)O
CCMSLIB00004679299	CCCCCCCCCCCC(CC(=O)NC(CC(C)C)C(=O)NC(CCC(=O)O)C(=O)NC1C(OC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC1=O)C(C)C)CC(C)C)CO)CC(C)C)CC(C)C)CO)C(C)C)C)O
CCMSLIB00004679300	CCCCCCCCCC(CC(=O)NC(CC(C)C)C(=O)NC(CCC(=O)O)C(=O)NC1C(OC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC1=O)C(C)CC)CC(C)C)CO)CC(C)C)CC(C)C)CO)C(C)C)C)O
CCMSLIB00004681475	C/C(=C\C1=CC=C(C=C1)O)/C(=O)NC2=CC=C(C=C2)C(=O)N[C@@H](CC#N)C(=O)NC3=CC=C(C=C3)C(=O)NC4=C(C(=C(C=C4)C(=O)NC5=C(C(=C(C=C5)C(=O)O)O)OC)O)OC
CCMSLIB00004681481	C/C(=C\C1=CC=C(C=C1)O)/C(=O)NC2=CC=C(C=C2)C(=O)NC(C(C#N)OC)C(=O)NC3=CC=C(C=C3)C(=O)NC4=C(C(=C(C=C4)C(=O)NC5=C(C(=C(C=C5)C(=O)O)O)OC)O)OC
CCMSLIB00004681482	CN1C2=CC=CC=C2N=C3C1=CC=CC3=O
CCMSLIB00004681486	C/C(=C\C1=CC=C(C=C1)OC(=O)N)/C(=O)NC2=CC=C(C=C2)C(=O)NC(C(C(=O)N)OC)C(=O)NC3=CC=C(C=C3)C(=O)NC4=C(C(=C(C=C4)C(=O)NC5=C(C(=C(C=C5)C(=O)O)O)OC)O)OC
CCMSLIB00004681487	C/C(=C\C1=CC=C(C=C1)O)/C(=O)NC2=CC=C(C=C2)C(=O)N[C@@H](CC#N)C(=O)NC3=CC=C(C=C3)C(=O)NC4=C(C(=C(C=C4)C(=O)NC5=C(C(=C(C=C5)C(=O)O)O)OC)O)OC
CCMSLIB00004685866	CC(=O)c1c(O)cc(O)c(C(=O)C)c1O
CCMSLIB00004693587	CC(=O)c1c(O)cc(O)c(C(=O)C)c1O
CCMSLIB00004721397	C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2C[C@@]3([C@H](CC[C@@]4([C@@H]3CC=C([C@@H]4C[C@@H]([C@@H](C(=O)O)N)OC)C)C)C([C@@H]2O)(C)C)C)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)NC(=O)C)OC(=O)C6=CC(=CC=C6)O
CCMSLIB00005436037	CN1C2=CC=CC=C2N=C3C1=CC=CC3=O
CCMSLIB00005724004	CC(C)[C@@H](/C=C(\C)/C(=O)O)N(C)C(=O)[C@H](C(C)C)NC(=O)[C@H](CO)N=C(N)N
