metabolite_ID	predicted_GCFs	max_jaccard	pep_mass	peak_count
0	CCMSLIB00004708843	['GCF604' 'GCF601' 'GCF595']	0.4	888.0307	6
1	CCMSLIB00004720895	['GCF553' 'GCF361' 'GCF361']	0.01	394.3469	7
2	CCMSLIB00000426015	['GCF102' 'GCF102' 'GCF102']	0.08	685.4359	2
3	CCMSLIB00004684845	['GCF531' 'GCF539' 'GCF613']	0.27	374.2518	4
4	CCMSLIB00000217939	['GCF527' 'GCF524' 'GCF530']	0.02	337.1056	2
5	CCMSLIB00004720881	['GCF517' 'GCF101' 'GCF579']	0.05	365.1377	3
6	CCMSLIB00004719755	['GCF550' 'GCF550' 'GCF530']	0.19	494.5656	3
7	CCMSLIB00000424831	['GCF584' 'GCF584' 'GCF584']	0.3	494.5656	3
8	CCMSLIB00004702361	['GCF517' 'GCF614' 'GCF537']	0.14	903.5627	4
9	CCMSLIB00000078413	['GCF584' 'GCF584' 'GCF587']	0.36	494.5656	3
10	CCMSLIB00004689408	['GCF229' 'GCF168' 'GCF134']	0.0	393.2532	1
11	CCMSLIB00000571824	['GCF627' 'GCF612' 'GCF627']	0.5	785.4993	10
12	CCMSLIB00000573955	['GCF533' 'GCF552' 'GCF541']	0.0	685.4364	2
13	CCMSLIB00004715621	['GCF584' 'GCF584' 'GCF584']	0.06	708.5115	5
14	CCMSLIB00000567505	['GCF553' 'GCF524' 'GCF553']	0.26	887.5683	12
15	CCMSLIB00004698934	['GCF634' 'GCF634' 'GCF639']	0.18	901.5843	11
16	CCMSLIB00004721779	['GCF634' 'GCF527' 'GCF527']	0.22	917.5782	11
17	CCMSLIB00000075321	['GCF553' 'GCF524' 'GCF553']	0.26	887.5678	6
18	CCMSLIB00000206377	['GCF498' 'GCF548' 'GCF517']	0.25	917.5791	4
19	CCMSLIB00000205118	['GCF582' 'GCF580' 'GCF585']	0.25	917.5782	3
20	CCMSLIB00004689144	['GCF627' 'GCF612' 'GCF627']	0.5	403.2447	1
21	CCMSLIB00000078177	['GCF498' 'GCF545' 'GCF538']	0.2	403.2451	1
22	CCMSLIB00000579934	['GCF584' 'GCF584' 'GCF589']	0.05	403.2453	1
23	CCMSLIB00004691045	['GCF617' 'GCF614' 'GCF612']	0.4	387.2506	4
24	CCMSLIB00000075309	['GCF638' 'GCF533' 'GCF636']	0.2	387.25	0
25	CCMSLIB00000218175	['GCF584' 'GCF584' 'GCF584']	0.02	463.3023	3
26	CCMSLIB00000566828	['GCF584' 'GCF584' 'GCF584']	0.03	419.2763	3
27	CCMSLIB00000220213	['GCF533' 'GCF137' 'GCF552']	0.12	359.219	2
28	CCMSLIB00004679300	['GCF81' 'GCF81' 'GCF81']	0.12	399.3075	2
29	CCMSLIB00004721619	['GCF81' 'GCF81' 'GCF81']	0.11	443.3336	1
30	CCMSLIB00000839190	['GCF141' 'GCF128' 'GCF128']	0.04	419.2759	1
31	CCMSLIB00004681487	['GCF589' 'GCF608' 'GCF601']	0.14	359.2187	4
32	CCMSLIB00004721625	['GCF550' 'GCF584' 'GCF584']	0.02	685.4364	3
33	CCMSLIB00004721631	['GCF102' 'GCF102' 'GCF102']	0.0	779.567	5
34	CCMSLIB00003739967	['GCF550' 'GCF584' 'GCF584']	0.37	494.5658	2
35	CCMSLIB00000071755	['GCF582' 'GCF585' 'GCF586']	0.43	494.8046	3
36	CCMSLIB00005436037	['GCF580' 'GCF580' 'GCF580']	0.56	494.8054	2
37	CCMSLIB00000078771	['GCF589' 'GCF589' 'GCF591']	0.75	494.8053	2
38	CCMSLIB00004689030	['GCF584' 'GCF584' 'GCF584']	0.46	494.5656	2
39	CCMSLIB00000213626	['GCF553' 'GCF527' 'GCF531']	0.19	494.5654	2
40	CCMSLIB00004717354	['GCF527' 'GCF531' 'GCF538']	0.14	360.2361	7
41	CCMSLIB00000566784	['GCF531' 'GCF538' 'GCF531']	0.25	463.0608	30
42	CCMSLIB00004684528	['GCF539' 'GCF613' 'GCF613']	0.5	461.0635	25
43	CCMSLIB00004688312	['GCF638' 'GCF637' 'GCF533']	0.33	219.0968	0
44	CCMSLIB00000072274	['GCF539' 'GCF613' 'GCF613']	0.67	406.2416	16
45	CCMSLIB00005435927	['GCF531' 'GCF531' 'GCF517']	0.11	418.2503	4
46	CCMSLIB00005435933	['GCF612' 'GCF517' 'GCF615']	0.4	545.9699	18
47	CCMSLIB00004690978	['GCF251' 'GCF256' 'GCF256']	0.5	372.2361	1
48	CCMSLIB00004721355	['GCF584' 'GCF584' 'GCF584']	0.03	685.4373	3
49	CCMSLIB00004690944	['GCF229' 'GCF168' 'GCF134']	0.0	543.9729	0
50	CCMSLIB00003142432	['GCF517' 'GCF629' 'GCF552']	0.5	388.2313	3
51	CCMSLIB00004691469	['GCF517' 'GCF539' 'GCF614']	0.33	406.2415	6
52	CCMSLIB00000207337	['GCF517' 'GCF614' 'GCF537']	0.2	388.2314	3
53	CCMSLIB00004695633	['GCF517' 'GCF539' 'GCF614']	0.4	406.241	9
54	CCMSLIB00004691455	['GCF137' 'GCF137' 'GCF132']	0.5	337.1092	2
55	CCMSLIB00004690987	['GCF456' 'GCF388' 'GCF385']	0.01	398.2691	3
56	CCMSLIB00004688110	['GCF531' 'GCF531' 'GCF539']	0.33	219.098	0
57	CCMSLIB00004721396	['GCF102' 'GCF102' 'GCF102']	0.05	149.0606	0
58	CCMSLIB00004721397	['GCF517' 'GCF614' 'GCF537']	0.2	463.0627	34
59	CCMSLIB00004690986	['GCF1' 'GCF1' 'GCF254']	0.01	261.1109	1
60	CCMSLIB00004691326	['GCF538' 'GCF538' 'GCF531']	0.29	945.0964	11
61	CCMSLIB00004704881	['GCF531' 'GCF538' 'GCF538']	0.33	947.0949	5
62	CCMSLIB00000207336	['GCF517' 'GCF614' 'GCF537']	0.2	334.0976	4
63	CCMSLIB00004691454	['GCF531' 'GCF539' 'GCF531']	0.38	485.0423	5
64	CCMSLIB00004695632	['GCF531' 'GCF539' 'GCF611']	0.29	483.0449	4
65	CCMSLIB00004694504	['GCF626' 'GCF626' 'GCF631']	0.14	494.5656	3
66	CCMSLIB00004690945	['GCF531' 'GCF517' 'GCF553']	0.02	365.1368	2
67	CCMSLIB00000567128	['GCF517' 'GCF612' 'GCF615']	0.4	461.0631	14
68	CCMSLIB00000565071	['GCF517' 'GCF539' 'GCF614']	0.4	408.2565	10
69	CCMSLIB00000565065	['GCF517' 'GCF614' 'GCF537']	0.2	390.2472	8
70	CCMSLIB00005435926	['GCF517' 'GCF614' 'GCF539']	0.4	422.2371	7
71	CCMSLIB00000072275	['GCF517' 'GCF614' 'GCF537']	0.2	424.2516	10
72	CCMSLIB00004688313	['GCF517' 'GCF614' 'GCF537']	0.2	438.2319	12
73	CCMSLIB00000574381	['GCF531' 'GCF539' 'GCF517']	0.25	394.2409	5
74	CCMSLIB00004684529	['GCF539' 'GCF613' 'GCF613']	0.67	390.2471	4
75	CCMSLIB00000217441	['GCF617' 'GCF517' 'GCF531']	0.06	163.0761	2
76	CCMSLIB00004721181	['GCF634' 'GCF639' 'GCF639']	0.5	887.5689	5
77	CCMSLIB00004717355	['GCF498' 'GCF538' 'GCF529']	0.5	390.2462	2
78	CCMSLIB00000218028	['GCF539' 'GCF584' 'GCF631']	0.33	372.2355	2
79	CCMSLIB00003739972	['GCF573' 'GCF573' 'GCF571']	1.0	388.2311	0
80	CCMSLIB00000221656	['GCF517' 'GCF614' 'GCF537']	0.2	422.2363	4
81	CCMSLIB00000839185	['GCF751' 'GCF751' 'GCF1']	0.03	685.4351	3
82	CCMSLIB00002239884	['GCF533' 'GCF552' 'GCF541']	0.0	685.4354	0
83	CCMSLIB00000075308	['GCF627' 'GCF612' 'GCF627']	0.5	391.2089	4
84	CCMSLIB00004697435	['GCF584' 'GCF587' 'GCF585']	0.12	777.5496	0
85	CCMSLIB00000206376	['GCF493' 'GCF101' 'GCF638']	0.02	901.583	8
86	CCMSLIB00000078176	['GCF623' 'GCF623' 'GCF590']	0.67	307.2246	3
87	CCMSLIB00004689145	['GCF589' 'GCF584' 'GCF584']	0.42	307.2239	2
88	CCMSLIB00004684475	['GCF640' 'GCF617' 'GCF523']	0.25	307.2242	1
89	CCMSLIB00004696717	['GCF589' 'GCF623' 'GCF618']	0.33	307.224	3
90	CCMSLIB00000075320	['GCF102' 'GCF578' 'GCF627']	0.04	343.2237	3
91	CCMSLIB00000579712	['GCF550' 'GCF550' 'GCF584']	0.02	355.2812	2
92	CCMSLIB00000572135	['GCF536' 'GCF631' 'GCF631']	0.02	375.2499	1
93	CCMSLIB00004721778	['GCF530' 'GCF530' 'GCF522']	0.23	494.5658	2
94	CCMSLIB00004689409	['GCF640' 'GCF617' 'GCF523']	0.5	403.2448	0
95	CCMSLIB00000426799	['GCF628' 'GCF630' 'GCF553']	0.0	343.2236	0
96	CCMSLIB00004719740	['GCF640' 'GCF617' 'GCF523']	0.33	494.8051	2
97	CCMSLIB00004702360	['GCF359' 'GCF359' 'GCF363']	0.25	343.2236	1
98	CCMSLIB00000424830	['GCF623' 'GCF590' 'GCF623']	0.5	775.9095	7
99	CCMSLIB00000078412	['GCF589' 'GCF589' 'GCF584']	0.8	462.2379	3
100	CCMSLIB00000219040	['GCF623' 'GCF590' 'GCF623']	0.33	749.8792	5
101	CCMSLIB00004684844	['GCF589' 'GCF623' 'GCF590']	0.33	903.9989	7
102	CCMSLIB00004688918	['GCF623' 'GCF590' 'GCF623']	0.5	887.9981	4
103	CCMSLIB00004720880	['GCF589' 'GCF589' 'GCF590']	1.0	462.2371	4
104	CCMSLIB00000573029	['GCF80' 'GCF80' 'GCF80']	0.03	487.3595	2
105	CCMSLIB00004720894	['GCF542' 'GCF530' 'GCF530']	0.15	279.1938	2
106	CCMSLIB00000572479	['GCF582' 'GCF580' 'GCF582']	0.17	279.1927	2
107	CCMSLIB00000578154	['GCF591' 'GCF589' 'GCF592']	0.67	478.233	9
108	CCMSLIB00000478632	['GCF589' 'GCF610' 'GCF581']	0.4	520.2442	7
109	CCMSLIB00004708842	['GCF623' 'GCF590' 'GCF623']	0.5	432.2282	4
110	CCMSLIB00000085206	['GCF229' 'GCF168' 'GCF134']	0.0	207.1739	2
111	CCMSLIB00004719781	['GCF610' 'GCF589' 'GCF609']	0.5	189.1633	1
112	CCMSLIB00000077092	['GCF581' 'GCF581' 'GCF580']	1.0	551.3616	7
113	CCMSLIB00004712818	['GCF589' 'GCF589' 'GCF592']	0.8	432.2271	4
114	CCMSLIB00000478630	['GCF623' 'GCF590' 'GCF623']	0.5	760.8735	4
115	CCMSLIB00004720882	['GCF601' 'GCF606' 'GCF596']	0.25	520.243	3
116	CCMSLIB00000080354	['GCF229' 'GCF168' 'GCF134']	0.0	207.1739	2
117	CCMSLIB00004694499	['GCF582' 'GCF585' 'GCF580']	0.4	432.2266	3
118	CCMSLIB00004692003	['GCF584' 'GCF580' 'GCF580']	0.55	432.2268	2
119	CCMSLIB00000219042	['GCF628' 'GCF584' 'GCF630']	0.17	207.1731	0
120	CCMSLIB00004715622	['GCF580' 'GCF580' 'GCF581']	0.83	520.2433	3
121	CCMSLIB00000072101	['GCF590' 'GCF591' 'GCF589']	0.67	456.2519	8
122	CCMSLIB00004684885	['GCF578' 'GCF578' 'GCF229']	0.17	424.2248	0
123	CCMSLIB00004698937	['GCF589' 'GCF589' 'GCF581']	0.36	446.243	3
124	CCMSLIB00000567274	['GCF589' 'GCF589' 'GCF584']	0.67	446.2435	4
125	CCMSLIB00000565311	['GCF589' 'GCF589' 'GCF592']	1.0	933.4772	6
126	CCMSLIB00000572123	['GCF587' 'GCF585' 'GCF585']	0.5	788.9024	4
127	CCMSLIB00004713938	['GCF623' 'GCF590' 'GCF623']	0.33	446.2422	1
128	CCMSLIB00000206374	['GCF589' 'GCF589' 'GCF592']	0.5	478.2325	3
129	CCMSLIB00004709021	['GCF546' 'GCF554' 'GCF543']	0.2	478.233	0
130	CCMSLIB00004696715	['GCF589' 'GCF589' 'GCF550']	0.8	478.2321	3
131	CCMSLIB00000075322	['GCF589' 'GCF589' 'GCF589']	0.6	446.2424	3
132	CCMSLIB00000223876	['GCF584' 'GCF610' 'GCF584']	0.09	359.2413	2
133	CCMSLIB00000205127	['GCF589' 'GCF618' 'GCF229']	0.33	309.2048	2
134	CCMSLIB00004709009	['GCF594' 'GCF594' 'GCF594']	0.01	332.3315	3
135	CCMSLIB00004697437	['GCF1' 'GCF685' 'GCF1']	0.01	304.3003	2
