BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
1.region001	1	1	lassopeptide	RiPPs		
1.region002	1	1	NRPS	NRPS		
1.region003	1	1	RiPP-like	RiPPs		
1.region004	1	1	terpene	Terpene		
1.region005	1	1	T1PKS.NRPS	PKS-NRP_Hybrids		
1.region006	1	1	NRPS-like	NRPS		
1.region007	1	1	LAP	RiPPs		
1.region008	1	1	arylpolyene	Others		
1.region009	1	1	terpene	Terpene		
1.region010	1	1	T3PKS	PKSother		
1.region011	1	1	cyanobactin	RiPPs		
1.region012	1	1	NRPS.cyanobactin	Others		
11.region001	11	11	lassopeptide	RiPPs		
12.region001	12	12	T3PKS.PKS-like.transAT-PKS	PKSother		
12.region002	12	12	T1PKS.NRPS	PKS-NRP_Hybrids		
13.region001	13	13	T1PKS.NRPS-like	PKS-NRP_Hybrids		
13.region002	13	13	lanthipeptide-class-v	RiPPs		
13.region003	13	13	T1PKS.NRPS.NRPS-like	PKS-NRP_Hybrids		
4_pasmid.region001	4_pasmid	4_pasmid length=110082 depth=1.41x circular=true	lanthipeptide-class-i	RiPPs		
ABCS01000001.1.region001	ABCS01000001.1	ABCS01000001.1 Plesiocystis pacifica SIR-1 1103186006202, whole genome shotgun sequence	terpene	Terpene		
ABCS01000001.1.region002	ABCS01000001.1	ABCS01000001.1 Plesiocystis pacifica SIR-1 1103186006202, whole genome shotgun sequence	siderophore	Others		
ABCS01000001.1.region003	ABCS01000001.1	ABCS01000001.1 Plesiocystis pacifica SIR-1 1103186006202, whole genome shotgun sequence	bacteriocin	RiPPs		
ABCS01000003.1.region001	ABCS01000003.1	ABCS01000003.1 Plesiocystis pacifica SIR-1 1103186006335, whole genome shotgun sequence	NRPS-like	NRPS		
ABCS01000005.1.region001	ABCS01000005.1	ABCS01000005.1 Plesiocystis pacifica SIR-1 1103186006297, whole genome shotgun sequence	transAT-PKS	PKSother		
ABCS01000010.1.region001	ABCS01000010.1	ABCS01000010.1 Plesiocystis pacifica SIR-1 1103186006341, whole genome shotgun sequence	siderophore	Others		
ABCS01000011.1.region001	ABCS01000011.1	ABCS01000011.1 Plesiocystis pacifica SIR-1 1103186006224, whole genome shotgun sequence	terpene	Terpene		
ABCS01000016.1.region001	ABCS01000016.1	ABCS01000016.1 Plesiocystis pacifica SIR-1 1103186006307, whole genome shotgun sequence	T3PKS	PKSother		
ABCS01000019.1.region001	ABCS01000019.1	ABCS01000019.1 Plesiocystis pacifica SIR-1 1103186006320, whole genome shotgun sequence	bacteriocin	RiPPs		
ABCS01000021.1.region001	ABCS01000021.1	ABCS01000021.1 Plesiocystis pacifica SIR-1 1103186006200, whole genome shotgun sequence	terpene	Terpene		
ABCS01000022.1.region001	ABCS01000022.1	ABCS01000022.1 Plesiocystis pacifica SIR-1 1103186006288, whole genome shotgun sequence	T1PKS.hglE-KS	PKSother		
ABCS01000025.1.region001	ABCS01000025.1	ABCS01000025.1 Plesiocystis pacifica SIR-1 1103186006199, whole genome shotgun sequence	T1PKS	PKSI		
ABCS01000028.1.region001	ABCS01000028.1	ABCS01000028.1 Plesiocystis pacifica SIR-1 1103186006295, whole genome shotgun sequence	T3PKS	PKSother		
ABCS01000035.1.region001	ABCS01000035.1	ABCS01000035.1 Plesiocystis pacifica SIR-1 1103186006318, whole genome shotgun sequence	PKS-like	PKSother		
ABCS01000037.1.region001	ABCS01000037.1	ABCS01000037.1 Plesiocystis pacifica SIR-1 1103186006263, whole genome shotgun sequence	terpene	Terpene		
ABCS01000038.1.region001	ABCS01000038.1	ABCS01000038.1 Plesiocystis pacifica SIR-1 1103186006194, whole genome shotgun sequence	terpene	Terpene		
ABCS01000057.1.region001	ABCS01000057.1	ABCS01000057.1 Plesiocystis pacifica SIR-1 1103186006201, whole genome shotgun sequence	arylpolyene	Others		
ABCS01000075.1.region001	ABCS01000075.1	ABCS01000075.1 Plesiocystis pacifica SIR-1 1103186006312, whole genome shotgun sequence	terpene	Terpene		
ABCS01000086.1.region001	ABCS01000086.1	ABCS01000086.1 Plesiocystis pacifica SIR-1 1103186006183, whole genome shotgun sequence	bacteriocin	RiPPs		
